Date,market,Close,Regime_Name,Stress_Score,Signal,Signal_Label,Signal_Reason
2014-03-31,sp500,1872.3399658203125,Calm/Bull,5.090543329670383e-07,1,BUY,Calm/Bull low stress=0.00
2014-04-01,sp500,1885.52001953125,Calm/Bull,5.674871011525533e-07,1,BUY,Calm/Bull low stress=0.00
2014-04-02,sp500,1890.9000244140625,Calm/Bull,9.547283226586458e-07,1,BUY,Calm/Bull low stress=0.00
2014-04-03,sp500,1888.77001953125,Calm/Bull,2.218198878964186e-06,1,BUY,Calm/Bull low stress=0.00
2014-04-04,sp500,1865.0899658203125,Transition,0.0025293158368876,1,BUY,Transition BUY=0.00
2014-04-07,sp500,1845.0400390625,Calm/Bull,1.2194248393454187e-05,1,BUY,Calm/Bull low stress=0.00
2014-04-08,sp500,1851.9599609375,Calm/Bull,3.3083969029191806e-06,1,BUY,Calm/Bull low stress=0.00
2014-04-09,sp500,1872.1800537109375,Calm/Bull,9.870783131420693e-06,1,BUY,Calm/Bull low stress=0.00
2014-04-10,sp500,1833.0799560546875,Transition,0.0008869094206014,1,BUY,Transition BUY=0.00
2014-04-11,sp500,1815.68994140625,Calm/Bull,2.792880425314484e-05,1,BUY,Calm/Bull low stress=0.00
2014-04-14,sp500,1830.6099853515625,Calm/Bull,5.0137400230598725e-06,1,BUY,Calm/Bull low stress=0.00
2014-04-15,sp500,1842.97998046875,Calm/Bull,3.406247455711699e-05,1,BUY,Calm/Bull low stress=0.00
2014-04-16,sp500,1862.31005859375,Calm/Bull,7.591764035927017e-06,1,BUY,Calm/Bull low stress=0.00
2014-04-17,sp500,1864.8499755859375,Calm/Bull,2.5793338308034884e-06,1,BUY,Calm/Bull low stress=0.00
2014-04-21,sp500,1871.8900146484375,Calm/Bull,1.3441032909456765e-05,1,BUY,Calm/Bull low stress=0.00
2014-04-22,sp500,1879.550048828125,Calm/Bull,2.763362741790205e-06,1,BUY,Calm/Bull low stress=0.00
2014-04-23,sp500,1875.3900146484375,Calm/Bull,2.8164991342863696e-06,1,BUY,Calm/Bull low stress=0.00
