Date,market,Close,Regime,Regime_Name,Stress_Score
2014-03-27,dax,9451.2099609375,0,Calm/Bull,0.004025084600499377
2014-03-28,dax,9587.1904296875,0,Calm/Bull,0.01308294095417141
2014-03-31,dax,9555.91015625,0,Calm/Bull,0.000353393748573069
2014-04-01,dax,9603.7099609375,0,Calm/Bull,1.8674160554355853e-05
2014-04-02,dax,9623.3603515625,0,Calm/Bull,1.8433402646435245e-05
2014-04-03,dax,9628.8203125,0,Calm/Bull,7.3637762117466595e-06
2014-04-04,dax,9695.76953125,0,Calm/Bull,3.5471164307320092e-06
2014-04-07,dax,9510.849609375,0,Calm/Bull,0.0001525162837675912
2014-04-08,dax,9490.7900390625,0,Calm/Bull,2.1459486932450343e-05
2014-04-09,dax,9506.349609375,0,Calm/Bull,1.541214923899505e-05
2014-04-10,dax,9454.5400390625,1,Transition,1.9574569291678386e-05
2014-04-11,dax,9315.2900390625,1,Transition,0.0003947656944967022
2014-04-14,dax,9339.169921875,0,Calm/Bull,1.399411943822747e-05
2014-04-15,dax,9173.7099609375,1,Transition,0.00016255647799795782
2014-04-16,dax,9317.8203125,1,Transition,0.0002133719125665238
2014-04-17,dax,9409.7099609375,0,Calm/Bull,7.018863558708864e-05
2014-04-22,dax,9600.08984375,1,Transition,0.0019499370046264582
2014-04-23,dax,9544.1904296875,0,Calm/Bull,4.3154559542083064e-05
2014-04-24,dax,9548.6796875,1,Transition,0.0021946977027039144
2014-04-25,dax,9401.5498046875,0,Calm/Bull,0.00016383779521131957
2014-04-28,dax,9446.3603515625,0,Calm/Bull,1.05918791354598e-05
2014-04-29,dax,9584.1201171875,0,Calm/Bull,0.00025627771844034385
2014-04-30,dax,9603.23046875,0,Calm/Bull,0.00011804234429690329
2014-05-02,dax,9556.01953125,0,Calm/Bull,3.8074088423628366e-05
2014-05-05,dax,9529.5,0,Calm/Bull,2.647757839583351e-05
2014-05-06,dax,9467.5302734375,0,Calm/Bull,2.9444406361611872e-05
2014-05-07,dax,9521.2998046875,0,Calm/Bull,6.654766194171155e-05
2014-05-08,dax,9607.400390625,0,Calm/Bull,9.932407743792981e-05
2014-05-09,dax,9581.4501953125,0,Calm/Bull,2.791522871231906e-05
2014-05-12,dax,9702.4599609375,0,Calm/Bull,5.291486937093359e-05
2014-05-13,dax,9754.4296875,0,Calm/Bull,0.00017275691750756053
2014-05-14,dax,9754.3896484375,0,Calm/Bull,2.316366570287401e-05
2014-05-15,dax,9656.0498046875,0,Calm/Bull,0.010665095993357668
2014-05-16,dax,9629.099609375,0,Calm/Bull,0.00011664034688971484
2014-05-19,dax,9659.3896484375,1,Transition,1.7711315629021502e-05
2014-05-20,dax,9639.080078125,0,Calm/Bull,3.0160231577034834e-06
2014-05-21,dax,9697.8701171875,1,Transition,5.765243198371772e-06
2014-05-22,dax,9720.91015625,1,Transition,2.6701757806319053e-06
2014-05-23,dax,9768.009765625,1,Transition,2.4841090719209095e-06
2014-05-26,dax,9892.8203125,1,Transition,2.5654804872948393e-06
2014-05-27,dax,9940.8203125,1,Transition,6.01944786325334e-06
2014-05-28,dax,9939.169921875,1,Transition,3.9163752473995395e-06
2014-05-29,dax,9938.900390625,0,Calm/Bull,9.160283914867521e-08
2014-05-30,dax,9943.26953125,0,Calm/Bull,2.995089102474864e-07
2014-06-02,dax,9950.1201171875,0,Calm/Bull,2.2568594407775365e-09
2014-06-03,dax,9919.740234375,0,Calm/Bull,3.0606589105224907e-09
2014-06-04,dax,9926.669921875,0,Calm/Bull,8.227137506205899e-10
2014-06-05,dax,9947.830078125,0,Calm/Bull,5.163321984021014e-07
2014-06-06,dax,9987.1904296875,0,Calm/Bull,3.119228900382688e-09
