regime,horizon,n,mean_pct,median_pct,std_pct,sharpe,pct_pos,t_stat,p_value,sig,market
Calm/Bull,1,510,-0.003,0.019,1.095,-0.049,51.6,-0.07,0.9443,,bist100
Calm/Bull,5,510,0.136,0.266,2.793,0.345,53.9,1.097,0.2734,,bist100
Calm/Bull,10,510,0.05,0.604,4.386,0.057,56.7,0.258,0.7968,,bist100
Calm/Bull,20,510,0.598,1.123,6.984,0.304,56.5,1.934,0.0537,,bist100
Calm/Bull,60,510,5.242,5.681,14.229,0.755,65.7,8.32,0.0,★,bist100
Transition,1,1863,0.094,0.122,1.447,1.029,53.7,2.797,0.0052,★,bist100
Transition,5,1863,0.482,0.688,3.388,1.01,57.7,6.141,0.0,★,bist100
Transition,10,1863,1.028,1.15,4.766,1.083,59.4,9.314,0.0,★,bist100
Transition,20,1857,1.953,1.505,6.935,1.0,59.1,12.139,0.0,★,bist100
Transition,60,1826,5.605,3.093,13.261,0.866,61.3,18.062,0.0,★,bist100
Stress/Bear,1,678,0.247,0.292,2.041,1.922,59.4,3.153,0.0017,★,bist100
Stress/Bear,5,674,1.084,1.377,4.57,1.684,63.9,6.159,0.0,★,bist100
Stress/Bear,10,669,2.168,2.365,6.521,1.669,64.7,8.599,0.0,★,bist100
Stress/Bear,20,665,4.343,2.95,8.945,1.724,65.3,12.521,0.0,★,bist100
Stress/Bear,60,656,12.269,7.53,19.28,1.304,72.1,16.298,0.0,★,bist100
