regime,horizon,n,mean_pct,median_pct,std_pct,sharpe,pct_pos,t_stat,p_value,sig,market
Calm/Bull,1,1875,0.028,0.069,0.865,0.505,53.8,1.379,0.1681,,dax
Calm/Bull,5,1875,0.131,0.279,1.937,0.479,56.9,2.92,0.0035,★,dax
Calm/Bull,10,1875,0.265,0.401,2.71,0.492,56.2,4.24,0.0,★,dax
Calm/Bull,20,1875,0.45,0.72,4.345,0.367,58.7,4.48,0.0,★,dax
Calm/Bull,60,1873,1.253,2.001,7.285,0.352,62.4,7.44,0.0,★,dax
Transition,1,889,0.012,0.06,1.319,0.144,52.0,0.27,0.7871,,dax
Transition,5,885,0.076,0.387,3.112,0.174,55.6,0.729,0.466,,dax
Transition,10,880,0.286,0.697,4.311,0.333,58.2,1.965,0.0497,★,dax
Transition,20,871,0.683,1.029,5.539,0.438,57.1,3.639,0.0003,★,dax
Transition,60,842,2.12,1.773,8.659,0.502,59.9,7.103,0.0,★,dax
Stress/Bear,1,330,0.169,0.194,2.097,1.276,53.9,1.461,0.1451,,dax
Stress/Bear,5,330,0.811,0.874,4.328,1.331,61.8,3.406,0.0007,★,dax
Stress/Bear,10,330,1.285,1.831,6.31,1.022,67.6,3.7,0.0003,★,dax
Stress/Bear,20,329,2.79,2.997,7.596,1.304,65.7,6.661,0.0,★,dax
Stress/Bear,60,320,7.59,7.231,10.635,1.463,79.4,12.768,0.0,★,dax
