regime,horizon,n,mean_pct,median_pct,std_pct,sharpe,pct_pos,t_stat,p_value,sig,market
Calm/Bull,1,2195,0.031,0.062,0.797,0.611,54.5,1.804,0.0713,,sp500
Calm/Bull,5,2193,0.141,0.323,1.835,0.545,59.7,3.595,0.0003,★,sp500
Calm/Bull,10,2189,0.337,0.597,2.498,0.677,62.1,6.311,0.0,★,sp500
Calm/Bull,20,2179,0.698,1.225,3.697,0.671,65.9,8.819,0.0,★,sp500
Calm/Bull,60,2142,2.265,3.247,5.894,0.787,74.2,17.783,0.0,★,sp500
Transition,1,670,0.13,0.108,1.185,1.745,54.2,2.846,0.0046,★,sp500
Transition,5,668,0.486,0.654,2.477,1.394,62.7,5.075,0.0,★,sp500
Transition,10,667,0.869,1.214,3.252,1.342,69.4,6.905,0.0,★,sp500
Transition,20,667,1.634,2.281,4.467,1.298,71.4,9.447,0.0,★,sp500
Transition,60,665,3.244,4.558,7.065,0.941,74.9,11.839,0.0,★,sp500
Stress/Bear,1,204,0.009,0.14,2.592,0.055,54.4,0.049,0.9606,,sp500
Stress/Bear,5,204,0.63,0.753,4.379,1.022,63.2,2.056,0.041,★,sp500
Stress/Bear,10,204,1.091,1.917,6.344,0.863,68.6,2.456,0.0149,★,sp500
Stress/Bear,20,204,2.284,3.081,7.709,1.052,69.1,4.232,0.0,★,sp500
Stress/Bear,60,203,8.304,7.806,8.681,1.96,82.8,13.629,0.0,★,sp500
