Date,Equity,Position,Trade,Close,Signal,Regime,Target_Pct
2014-03-27,9988.0,11.91384443292182,BUY,670.48046875,1,Transition,0.8
2014-03-28,10231.483654299913,14.80315095551369,BUY,691.1693115234375,1,Transition,1.0
2014-03-31,10323.114291342417,14.80315095551369,,697.3592529296875,1,Transition,1.0
2014-04-01,10489.071491507746,14.80315095551369,,708.5701904296875,1,Transition,1.0
2014-04-02,10458.074683656745,14.80315095551369,,706.4762573242188,1,Transition,1.0
2014-04-03,10590.828698124797,14.80315095551369,,715.4442138671875,1,Transition,1.0
2014-04-04,10744.499030013514,14.80315095551369,,725.8251342773438,1,Transition,1.0
2014-04-07,10730.613847891667,14.80315095551369,,724.8871459960938,1,Calm/Bull,1.0
2014-04-08,10946.354594056069,14.80315095551369,,739.4611206054688,1,Calm/Bull,1.0
2014-04-09,10721.658230687623,14.80315095551369,,724.2821655273438,1,Calm/Bull,1.0
2014-04-10,10828.476915066685,14.80315095551369,,731.4981079101562,1,Calm/Bull,1.0
2014-04-11,10767.207012982564,14.80315095551369,,727.359130859375,1,Calm/Bull,1.0
2014-04-14,10920.9523364197,14.80315095551369,,737.7451171875,1,Transition,1.0
2014-04-15,10723.049640140229,14.80315095551369,,724.3761596679688,1,Calm/Bull,1.0
2014-04-16,10717.33582625823,14.80315095551369,,723.9901733398438,1,Calm/Bull,1.0
2014-04-17,10889.406192888708,14.80315095551369,,735.6140747070312,1,Calm/Bull,1.0
2014-04-18,10876.70551582684,14.80315095551369,,734.756103515625,1,Calm/Bull,1.0
2014-04-21,10872.36775168271,14.80315095551369,,734.4630737304688,1,Calm/Bull,1.0
2014-04-22,10831.407910043474,14.80315095551369,,731.6961059570312,1,Calm/Bull,1.0
2014-04-24,10716.136864996148,14.80315095551369,,723.9091796875,1,Calm/Bull,1.0
2014-04-25,10567.721362572596,14.80315095551369,,713.8832397460938,1,Calm/Bull,1.0
2014-04-28,10717.202106388759,14.80315095551369,,723.9811401367188,1,Calm/Bull,1.0
2014-04-29,10704.842053588989,14.80315095551369,,723.1461791992188,1,Calm/Bull,1.0
2014-04-30,10935.252230839433,14.80315095551369,,738.7111206054688,1,Transition,1.0
2014-05-02,11125.856352081146,14.80315095551369,,751.5870361328125,1,Calm/Bull,1.0
2014-05-05,11066.894924770666,14.80315095551369,,747.60400390625,1,Calm/Bull,1.0
2014-05-06,11130.47510865369,14.80315095551369,,751.8990478515625,1,Calm/Bull,1.0
2014-05-07,11097.449011432202,14.80315095551369,,749.6680297851562,1,Calm/Bull,1.0
2014-05-08,11218.020061576271,14.80315095551369,,757.81298828125,1,Calm/Bull,1.0
2014-05-09,11185.645396962136,14.80315095551369,,755.6259765625,1,Calm/Bull,1.0
2014-05-12,11240.80213258111,14.80315095551369,,759.3519897460938,1,Calm/Bull,1.0
2014-05-13,11217.25026881418,14.80315095551369,,757.760986328125,1,Calm/Bull,1.0
2014-05-14,11257.411405287115,14.80315095551369,,760.4739990234375,1,Calm/Bull,1.0
2014-05-15,11136.114834499902,14.80315095551369,,752.280029296875,1,Calm/Bull,1.0
2014-05-16,11103.681441564717,14.80315095551369,,750.0890502929688,1,Calm/Bull,1.0
2014-05-20,11140.096614667196,14.80315095551369,,752.5490112304688,1,Calm/Bull,1.0
2014-05-21,11317.63052218073,14.80315095551369,,764.5419921875,1,Calm/Bull,1.0
2014-05-22,11552.79136884793,14.80315095551369,,780.4278564453125,1,Transition,1.0
2014-05-23,11555.367283360512,14.80315095551369,,780.6018676757812,1,Calm/Bull,1.0
2014-05-26,11635.688652793753,14.80315095551369,,786.02783203125,1,Calm/Bull,1.0
